mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06430602073669434,0.015271477735071669,0.010422658920288087,0.014111276219622724,,10,"{'max_depth': None, 'n_estimators': 10}",0.9010989010989011,0.9230769230769231,0.978021978021978,0.945054945054945,0.9120879120879121,0.9318681318681319,0.0272740080131667,25
0.2690786838531494,0.04456473657334402,0.006095409393310547,0.0008222111705445247,,50,"{'max_depth': None, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.014578570507056693,21
0.4446084022521973,0.024024359949255145,0.012378263473510741,0.0017147612934222283,,100,"{'max_depth': None, 'n_estimators': 100}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9582417582417582,0.017582417582417565,13
0.5121072292327881,0.05070157539980719,0.01379408836364746,0.0005060419733006181,,120,"{'max_depth': None, 'n_estimators': 120}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9582417582417582,0.01281527888976989,13
0.5542574882507324,0.03589024143459914,0.015607833862304688,0.001816829794767088,,150,"{'max_depth': None, 'n_estimators': 150}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.5708777904510498,0.07471542243645603,0.02142987251281738,0.00799778702048852,,170,"{'max_depth': None, 'n_estimators': 170}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.7428600788116455,0.07420906828153645,0.02060389518737793,0.005231154737035086,,200,"{'max_depth': None, 'n_estimators': 200}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.035160160064697264,0.00322132223177137,0.012776565551757813,0.008084454430844828,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.9010989010989011,0.9230769230769231,0.978021978021978,0.945054945054945,0.9120879120879121,0.9318681318681319,0.0272740080131667,25
0.20653223991394043,0.02905790330487497,0.0164736270904541,0.01171209977914957,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.014578570507056693,21
0.3363024234771729,0.02914510384173245,0.014529991149902343,0.004531659388140275,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9582417582417582,0.017582417582417565,13
0.3722342014312744,0.01996472167358804,0.014238262176513672,0.0015445052164968344,10,120,"{'max_depth': 10, 'n_estimators': 120}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9582417582417582,0.01281527888976989,13
0.5137537956237793,0.01305709808098399,0.014722776412963868,0.002890350495117203,10,150,"{'max_depth': 10, 'n_estimators': 150}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.5702456951141357,0.03321010157806778,0.015305423736572265,0.0023907136700222677,10,170,"{'max_depth': 10, 'n_estimators': 170}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.6294093132019043,0.029855914762051797,0.019447755813598634,0.0030063841029370347,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.04157366752624512,0.012033715482582875,0.0034152984619140623,0.0006101889393642566,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.9010989010989011,0.9230769230769231,0.978021978021978,0.945054945054945,0.9120879120879121,0.9318681318681319,0.0272740080131667,25
0.15631203651428222,0.007813685987695553,0.0073334693908691405,0.0008350047600332942,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.014578570507056693,21
0.27726354598999026,0.009330870241534674,0.00926194190979004,0.0017516906628601743,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9582417582417582,0.017582417582417565,13
0.34610838890075685,0.011780487009372696,0.011424970626831055,0.0020685234307217895,20,120,"{'max_depth': 20, 'n_estimators': 120}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9582417582417582,0.01281527888976989,13
0.3819728374481201,0.00575415327876381,0.014332771301269531,0.0020579368490610916,20,150,"{'max_depth': 20, 'n_estimators': 150}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.4615914344787598,0.017009996480536634,0.017617082595825194,0.0031975915754428735,20,170,"{'max_depth': 20, 'n_estimators': 170}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.5206297397613525,0.02576547670592658,0.019042110443115233,0.001382139845448155,20,200,"{'max_depth': 20, 'n_estimators': 200}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.0325829029083252,0.0034282747399461116,0.0032022476196289064,0.00039853482015290786,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.9010989010989011,0.9230769230769231,0.978021978021978,0.945054945054945,0.9120879120879121,0.9318681318681319,0.0272740080131667,25
0.14930105209350586,0.011614542610880454,0.007015514373779297,0.0019506316864309396,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.014578570507056693,21
0.30249738693237305,0.022190474993350036,0.01450796127319336,0.009086454630740705,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9582417582417582,0.017582417582417565,13
0.35846590995788574,0.026318091768896865,0.01754279136657715,0.0052700993314122955,30,120,"{'max_depth': 30, 'n_estimators': 120}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9582417582417582,0.01281527888976989,13
0.43894457817077637,0.026613120523522465,0.015735769271850587,0.00026028909176151644,30,150,"{'max_depth': 30, 'n_estimators': 150}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.4835948944091797,0.021768685089540635,0.009787750244140626,0.0034308488519715972,30,170,"{'max_depth': 30, 'n_estimators': 170}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.501518440246582,0.028600981663500433,0.008508062362670899,0.0010977250871727056,30,200,"{'max_depth': 30, 'n_estimators': 200}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
